%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
18416000000,1144,18416000000,world,2.0,1.05495755491e-13,4.9,1.92203673968e-13,6.92898883747e-14,4.32841471989e-12,1.0
18432000000,1145,18432000000,world,2.0,2.19934812759e-13,4.9,3.97626056724e-13,6.07677434369e-14,8.5254988061e-12,1.0
18432000000,1146,18448000000,world,2.0,2.65408361465e-13,4.9,4.889999813e-13,4.65330106737e-14,1.17182544992e-11,1.0
18464000000,1147,18464000000,world,2.0,2.71934548518e-13,4.9,5.12379546833e-13,3.16237263367e-14,1.37822483745e-11,1.0
18480000000,1148,18480000000,world,2.0,2.92999170375e-13,4.9,5.51669163858e-13,2.71428944663e-14,1.47853630448e-11,1.0
18496000000,1149,18496000000,world,2.0,3.14680000917e-13,4.9,5.84529051007e-13,2.7977738907e-14,1.46315049077e-11,1.0
18512000000,1150,18512000000,world,2.0,2.9085859584e-13,4.9,5.37902932728e-13,2.7205112898e-14,1.31512816082e-11,1.0
18512000000,1151,18528000000,world,2.0,2.39632366802e-13,4.9,4.40796244669e-13,2.22943647049e-14,1.04640188103e-11,1.0
18544000000,1152,18544000000,world,2.0,1.75971036521e-13,4.9,3.1778864483e-13,2.2513645441e-14,6.7602191444e-12,1.0
18560000000,1153,18560000000,world,2.0,1.75971036521e-13,4.9,3.1778864483e-13,2.2513645441e-14,6.7602191444e-12,1.0
18576000000,1154,18576000000,world,2.0,-7.06899014269e-14,4.9,-1.26339118446e-13,3.74901265586e-15,-2.50520239878e-12,1.0
18592000000,1155,18592000000,world,2.0,-1.67587889935e-13,4.9,-3.05750236868e-13,-4.96241071137e-15,-6.91834510602e-12,1.0
18608000000,1156,18608000000,world,2.0,-2.44265242357e-13,4.9,-4.48982466374e-13,-1.31629220262e-14,-1.06078539552e-11,1.0
18608000000,1157,18624000000,world,2.0,-2.44265242357e-13,4.9,-4.48982466374e-13,-1.31629220262e-14,-1.06078539552e-11,1.0
18640000000,1158,18640000000,world,2.0,-3.04890433379e-13,4.9,-5.60574098489e-13,-1.83967432693e-14,-1.32658698477e-11,1.0
18656000000,1159,18656000000,world,2.0,-3.30656860688e-13,4.9,-6.093389991e-13,-2.62283227568e-14,-1.4604871525e-11,1.0
18672000000,1160,18672000000,world,2.0,-2.97629637436e-13,4.9,-5.49052142319e-13,-2.5111020251e-14,-1.3236220867e-11,1.0
18688000000,1161,18688000000,world,2.0,-2.39022222981e-13,4.9,-4.41249811948e-13,-1.9065356512e-14,-1.06788025901e-11,1.0
18704000000,1162,18704000000,world,2.0,-1.60829095014e-13,4.9,-2.96701729241e-13,-1.10078067538e-14,-7.15396163794e-12,1.0
18720000000,1163,18720000000,world,2.0,-6.90803955158e-14,4.9,-1.2670590476e-13,-3.55357572123e-15,-2.95713623368e-12,1.0
18736000000,1164,18736000000,world,2.0,3.06666694201e-14,4.9,5.76804066539e-14,3.8856163227e-15,1.5385459924e-12,1.0
18752000000,1165,18752000000,world,2.0,1.4656499599e-13,4.9,2.66458327589e-13,9.81924772325e-15,5.90677498307e-12,1.0
18752000000,1166,18768000000,world,2.0,2.37343874195e-13,4.9,4.31753263382e-13,1.29962226079e-14,9.60481892682e-12,1.0
18768000000,1167,18784000000,world,2.0,2.91447553276e-13,4.9,5.32886616518e-13,1.29703510573e-14,1.22187628739e-11,1.0
18800000000,1168,18800000000,world,2.0,3.0711542886e-13,4.9,5.65713099362e-13,1.074020724e-14,1.35297870211e-11,1.0
18816000000,1169,18816000000,world,2.0,2.90426453258e-13,4.9,5.39529750955e-13,7.48078298184e-15,1.35082171559e-11,1.0
18832000000,1170,18832000000,world,2.0,2.51380332086e-13,4.9,4.70676507388e-13,4.25567314634e-15,1.22689439747e-11,1.0
18848000000,1171,18848000000,world,2.0,2.51380332086e-13,4.9,4.70676507388e-13,4.25567314634e-15,1.22689439747e-11,1.0
18864000000,1172,18864000000,world,2.0,2.01537957986e-13,4.9,3.78465808432e-13,2.36353615272e-15,1.00107368218e-11,1.0
18880000000,1173,18880000000,world,2.0,8.04823404151e-14,4.9,1.46492801682e-13,2.56243775052e-15,3.27144964118e-12,1.0
18896000000,1174,18896000000,world,2.0,-7.72760424992e-15,4.9,-1.697643905e-14,2.67295342558e-15,-7.68426150425e-13,1.0
18912000000,1175,18912000000,world,2.00000000072,9.14331972669e-13,4.89999999878,-3.98832448757e-11,3.10222477336e-08,-5.80922618379e-12,1.0
18912000000,1176,18928000000,world,2.00000000058,6.18353429884e-14,4.89999999902,-3.29927681452e-11,2.4817516294e-08,-1.10821565447e-11,1.0
18928000000,1177,18944000000,world,2.00000000046,-4.98893955574e-13,4.89999999922,-2.7290466369e-11,1.98539466701e-08,-1.52000025607e-11,1.0
18960000000,1178,18960000000,world,2.00000000037,-1.35275320277e-13,4.89999999937,-2.14368921378e-11,1.58832778585e-08,-1.47089443553e-11,1.0
18976000000,1179,18976000000,world,2.0000000003,6.71428612174e-13,4.8999999995,-1.59321109099e-11,1.27066698421e-08,-1.16622618181e-11,1.0
18992000000,1180,18992000000,world,2.00000000024,6.173572046e-13,4.8999999996,-1.26396300134e-11,1.01652228675e-08,-1.23215618313e-11,1.0
19008000000,1181,19008000000,world,2.00000000019,-3.04024019155e-13,4.89999999968,-1.14036320145e-11,8.13213630364e-09,-1.7166729274e-11,1.0
19008000000,1182,19024000000,world,2.00000000015,-9.40378498661e-13,4.89999999974,-1.02528178884e-11,6.50584657129e-09,-2.02971657373e-11,1.0
19040000000,1183,19040000000,world,2.00000000012,-3.28069886343e-13,4.89999999979,-7.54365091061e-12,5.20482541427e-09,-1.67814299325e-11,1.0
19056000000,1184,19056000000,world,2.0000000001,2.13642710641e-13,4.89999999984,-5.27748928313e-12,4.16389573386e-09,-1.11674599033e-11,1.0
19072000000,1185,19072000000,world,2.00000000008,2.3385296941e-13,4.89999999987,-4.10836278748e-12,3.33112002555e-09,-6.52231561465e-12,1.0
19088000000,1186,19088000000,world,2.00000000006,2.37363626447e-14,4.89999999989,-3.52786318063e-12,2.66484119669e-09,-3.06493638306e-12,1.0
19104000000,1187,19104000000,world,2.00000000005,-9.47611131752e-14,4.89999999992,-2.97903577783e-12,2.13180072221e-09,8.01486836792e-13,1.0
19120000000,1188,19120000000,world,2.00000000004,6.34423883351e-14,4.89999999993,-2.1334259545e-12,1.70537935492e-09,5.72768427784e-12,1.0
19120000000,1189,19136000000,world,2.00000000003,2.00004862108e-13,4.89999999995,-1.43752065716e-12,1.36425410834e-09,1.02650134814e-11,1.0
19152000000,1190,19152000000,world,2.00000000003,2.64149405461e-13,4.89999999996,-9.52779967331e-13,1.09136072218e-09,1.36456089324e-11,1.0
19168000000,1191,19168000000,world,2.00000000003,2.64149405461e-13,4.89999999996,-9.52779967331e-13,1.09136072218e-09,1.36456089324e-11,1.0
19184000000,1192,19184000000,world,2.00000000002,3.98879881966e-13,4.89999999997,-4.381552268e-13,8.7306676356e-10,1.58260303762e-11,1.0
19200000000,1193,19200000000,world,2.00000000001,1.68295695176e-13,4.89999999998,-3.95289520785e-13,5.58838995877e-10,1.33967313613e-11,1.0
19216000000,1194,19216000000,world,2.00000000001,2.7137391263e-13,4.89999999998,-1.0340232746e-13,4.47120909259e-10,1.0628348024e-11,1.0
19232000000,1195,19232000000,world,2.00000000001,3.8656369522e-13,4.89999999999,1.6862204863e-13,3.5771101622e-10,6.44805541068e-12,1.0
19248000000,1196,19248000000,world,2.00000000001,1.8058243601e-13,4.89999999999,-9.7696996233e-14,2.86161799456e-10,1.81913241826e-13,1.0
19264000000,1197,19264000000,world,2.00000000001,-1.56522288016e-13,4.89999999999,-5.94844793183e-13,2.28910516353e-10,-7.2052129797e-12,1.0
19280000000,1198,19280000000,world,2.0,-4.62028445733e-13,4.89999999999,-1.05381431362e-12,1.83100474198e-10,-1.39516980042e-11,1.0
19296000000,1199,19296000000,world,2.0,-5.84341591226e-13,4.89999999999,-1.22439149567e-12,1.46418563385e-10,-1.83997044311e-11,1.0
19312000000,1200,19312000000,world,2.0,-4.53513672525e-13,4.9,-9.92101726967e-13,1.17063976492e-10,-2.00992861887e-11,1.0
19312000000,1201,19328000000,world,2.0,-4.53513672525e-13,4.9,-9.92101726967e-13,1.17063976492e-10,-2.00992861887e-11,1.0
19344000000,1202,19344000000,world,2.0,-3.99574787814e-13,4.9,-8.5288152446e-13,7.49253450433e-11,-2.02710594479e-11,1.0
19360000000,1203,19360000000,world,2.0,-5.06258570245e-13,4.9,-9.90271982154e-13,5.99586930832e-11,-1.88404166119e-11,1.0
19376000000,1204,19376000000,world,2.0,-4.28227901882e-13,4.9,-8.28262618002e-13,4.79697718346e-11,-1.50418956674e-11,1.0
19392000000,1205,19392000000,world,2.0,-2.6341863497e-13,4.9,-5.22234672421e-13,3.84152554393e-11,-9.3993434353e-12,1.0
19392000000,1206,19408000000,world,2.0,-7.18678786627e-14,4.9,-1.67078181701e-13,3.07397950134e-11,-2.19844751101e-12,1.0
